0x99d0 0x99ff 0x2f
0x9a40 0x9a6f 0x2f
0x9a70 0x9a9f 0x2f
0x9b40 0x9b6b 0x2b
0x9b70 0x9b9f 0x2f
0x9c00 0x9c2b 0x2b
0x9c30 0x9c5f 0x2f
0x9c60 0x9c8f 0x2f
0x9c90 0x9cbf 0x2f
0x9cc0 0x9cef 0x2f
0x9cf0 0x9d1f 0x2f
0x9d30 0x9d5f 0x2f
0x9da0 0x9dcf 0x2f
0x9dd0 0x9dff 0x2f
0x9e30 0x9e5f 0x2f
0x9eb0 0x9edf 0x2f
0x9ee0 0x9f0f 0x2f
0x9f10 0x9f3f 0x2f
0x9f40 0x9f6f 0x2f
0x9f70 0x9f9f 0x2f
0x9fb0 0x9fdf 0x2f
0xa000 0xa092 0x92
0xa0a0 0xa132 0x92
0xa140 0xa1d2 0x92
0xa1e0 0xa272 0x92
0xa280 0xa312 0x92
0xa320 0xa3b2 0x92
0xa3c0 0xa460 0xa0
0xa460 0xa500 0xa0
0xa500 0xa5a0 0xa0
0xa5a0 0xa5ce 0x2e
0xa5d0 0xa5ff 0x2f
0xa600 0xa62f 0x2f
0xa630 0xa65f 0x2f
0xa660 0xa68f 0x2f
0xa690 0xa6bf 0x2f
0xa6c0 0xa6ef 0x2f
0xa6f0 0xa71f 0x2f
0xa720 0xa74f 0x2f
0xa750 0xa77f 0x2f
0xa780 0xa7af 0x2f
0xa7b0 0xa7df 0x2f
0xa7e0 0xa80f 0x2f
0xa810 0xa83f 0x2f
0xa840 0xa86f 0x2f
0xa870 0xa89f 0x2f
0xa8a0 0xa8cf 0x2f
0xa8d0 0xa8ff 0x2f
0xa930 0xa95f 0x2f
0xa980 0xa9ab 0x2b
0xa9d0 0xaa02 0x32
0xaa10 0xaa42 0x32
0xaa50 0xaa7f 0x2f
0xaa80 0xaaaf 0x2f
0xaab0 0xaadf 0x2f
0xaae0 0xab0f 0x2f
0xab10 0xab3f 0x2f
0xab40 0xab6f 0x2f
0xab70 0xab9f 0x2f
0xaba0 0xabcf 0x2f
0xabd0 0xabff 0x2f
0xac00 0xac2f 0x2f
0xac30 0xac5f 0x2f
0xac60 0xac8f 0x2f
0xac90 0xacbf 0x2f
0xacc0 0xacef 0x2f
0xacf0 0xad1f 0x2f
0xad20 0xad4f 0x2f
0xad50 0xad7f 0x2f
0xad80 0xadaf 0x2f
0xadb0 0xaddf 0x2f
0xade0 0xae0f 0x2f
0xae10 0xae3f 0x2f
0xae40 0xae6f 0x2f
0xae70 0xae9f 0x2f
0xaea0 0xaecf 0x2f
0xaed0 0xaeff 0x2f
0xaf00 0xaf2f 0x2f
0xaf30 0xaf5f 0x2f
0xaf60 0xaf8f 0x2f
0xaf90 0xafbf 0x2f
0xafc0 0xafef 0x2f
0xaff0 0xb01f 0x2f
0xb020 0xb04f 0x2f
0xb050 0xb07f 0x2f
0xb080 0xb0af 0x2f
0xb0b0 0xb0df 0x2f
0xb0e0 0xb10f 0x2f
0xb110 0xb13f 0x2f
0xb140 0xb16f 0x2f
0xb170 0xb19f 0x2f
0xb1a0 0xb1cf 0x2f
0xb1d0 0xb1ff 0x2f
0xb200 0xb22f 0x2f
0xb230 0xb25f 0x2f
0xb260 0xb28f 0x2f
0xb290 0xb2bf 0x2f
0xb2c0 0xb2ef 0x2f
0xb2f0 0xb31f 0x2f
0xb320 0xb34f 0x2f
0xb350 0xb37f 0x2f
0xb380 0xb3af 0x2f
0xb3b0 0xb3df 0x2f
0xb3e0 0xb40f 0x2f
0xb410 0xb43f 0x2f
0xb440 0xb5c3 0x183
0xb600 0xb62f 0x2f
0xb630 0xb65b 0x2b
0xb780 0xb812 0x92
0xb820 0xb8b2 0x92
0xb8c0 0xb952 0x92
0xb960 0xb98f 0x2f
0xb990 0xb9bf 0x2f
0xb9c0 0xb9ef 0x2f
0xb9f0 0xba1f 0x2f
0xba20 0xba4f 0x2f
0xba50 0xba7f 0x2f
0xba80 0xbaaf 0x2f
0xbab0 0xbadf 0x2f
0xbae0 0xbb0f 0x2f
0xbb10 0xbb3f 0x2f
0xbb40 0xbb6f 0x2f
0xbb70 0xbb9f 0x2f
0xbbc0 0xbbfd 0x3d
0xbc20 0xbc4f 0x2f
0xbc50 0xbc7f 0x2f
0xbc80 0xbcaf 0x2f
0xbcb0 0xbcdf 0x2f
0xbce0 0xbd0f 0x2f
0xbd10 0xbd3f 0x2f
0xbd40 0xbd6f 0x2f
0xbd70 0xbd9f 0x2f
0xbda0 0xbdcf 0x2f
0xbdd0 0xbdff 0x2f
0xbe00 0xbe2f 0x2f
0xbe30 0xbe5f 0x2f
0xbe60 0xbe8f 0x2f
0xbe90 0xbebf 0x2f
0xbec0 0xbeef 0x2f
0xbef0 0xbf1f 0x2f
0xbf20 0xbf4f 0x2f
0xbf50 0xbf7b 0x2b
0xc000 0xc02f 0x2f
0xc030 0xc05f 0x2f
0xc060 0xc08f 0x2f
0xc090 0xc0bf 0x2f
0xc0c0 0xc0ef 0x2f
0xc0f0 0xc11f 0x2f
0xc120 0xc14f 0x2f
0xc150 0xc17f 0x2f
0xc180 0xc1af 0x2f
0xc1b0 0xc1df 0x2f
0xc220 0xc24f 0x2f
0xc250 0xc27f 0x2f
0xc280 0xc2af 0x2f
0xc2b0 0xc2df 0x2f
0xc2e0 0xc30f 0x2f
0xc310 0xc33f 0x2f
0xc340 0xc36f 0x2f
0xc370 0xc39f 0x2f
0xc3a0 0xc3cf 0x2f
0xc3d0 0xc3ff 0x2f
0xc400 0xc42f 0x2f
0xc430 0xc45f 0x2f
0xc460 0xc48f 0x2f
0xc490 0xc4bf 0x2f
0xc4c0 0xc4ef 0x2f
0xc4f0 0xc51f 0x2f
0xc520 0xc54b 0x2b
0xc550 0xc57f 0x2f
0xc5c0 0xc5eb 0x2b
0xc5f0 0xc61f 0x2f
0xc620 0xc64f 0x2f
0xc650 0xc67f 0x2f
0xc6e0 0xc726 0x46
0xc770 0xc79b 0x2b
0xc7a0 0xc7cf 0x2f
0xc7d0 0xc7ff 0x2f
0xc800 0xc82f 0x2f
0xc830 0xc85f 0x2f
0xc860 0xc88f 0x2f
0xc890 0xc8bf 0x2f
0xc900 0xc920 0x20
0xc920 0xc94f 0x2f
0xc950 0xc97f 0x2f
0xc980 0xc9a0 0x20
0xc9a0 0xca17 0x77
0xcae0 0xcb00 0x20
